x_coor;y_coor;dip_azi;dip;thick;throw;depth_mid;h1;h2;h3;h4;h5;h6;h7;f_s1;f_s2;f_s3;f_s4;f_s5;f_s6;f_s7;f_d1;f_d2;f_d3;f_d4;f_d5;f_d6;f_d7;d_c1;d_c2;d_c3;d_c4;d_c5;d_c6;d_c7;sv_grad1;sv_grad2;sv_grad3;sv_grad4;sv_grad5;sv_grad6;sv_grad7;shsv1;shsv2;shsv3;shsv4;shsv5;shsv6;shsv7
246675.4018;593786.29;43.42474949;75.8053442;179.6674751;52.16772767;-2989.527005;-2776.49;-2807;-2859.45;-2872.31;-2926.24;-3051.67;-3105.72;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246635.8615;593809.1722;42.86424811;75.81657269;180.2168447;50.26328305;-2989.000121;-2773.21;-2806.53;-2857.95;-2872.14;-2924.32;-3052.32;-3104.59;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246602.6115;593839.6571;42.11806457;74.54914317;180.8529875;44.77598681;-2989.700356;-2775.54;-2809.93;-2854.96;-2875.35;-2921.82;-3056.37;-3102.66;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246574.6292;593876.5087;41.5608483;73.09761195;181.4533813;36.50038215;-2991.652984;-2784.12;-2816.31;-2852.76;-2881.71;-2919.01;-3063.3;-3100.23;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246544.4861;593910.7487;40.93803565;71.93370213;182.1238141;27.33747722;-2994.613327;-2791.94;-2824.35;-2851.03;-2889.86;-2916.92;-3072.53;-3098.25;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246514.4002;593945.0578;40.19154916;70.74160351;182.9739318;19.75080375;-2998.136082;-2798.08;-2831.64;-2850.03;-2897.33;-2915.91;-3081.02;-3098;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246480.4587;593974.7069;39.5961512;69.59966898;183.9947623;15.58972729;-3001.864086;-2800.45;-2836.36;-2850.89;-2902.49;-2917.28;-3087.86;-3099.74;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246438.5537;593994.7311;39.18216075;69.35851781;185.0602036;15.16348725;-3005.537262;-2800.3;-2838.97;-2854.33;-2905.34;-2920.96;-3092.32;-3104.41;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246392.2992;594009.4983;38.55038936;70.40755857;186.015639;17.07163239;-3008.861693;-2802.2;-2840.28;-2859.1;-2906.61;-2925.65;-3094.56;-3109.8;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246346.7101;594025.0698;37.84842988;71.98492031;186.879363;19.18481854;-3011.636386;-2805.21;-2841.72;-2863.47;-2907.58;-2929.52;-3096.29;-3114.52;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246301.6933;594041.3331;37.69893715;72.95023584;187.7240054;20.03827174;-3013.875509;-2807.26;-2843.32;-2865.76;-2908.73;-2931.49;-3098.35;-3117.42;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246256.3391;594057.1884;38.15423496;72.90208361;188.605706;19.41629736;-3015.768785;-2809.37;-2845.45;-2866.51;-2910.82;-2932.44;-3101.03;-3119.17;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
