X,Y,Thickness
252414.55,569381.53,31.84
252914.55,569381.53,25.63
253414.55,569381.53,23.53
253914.55,569381.53,28.68
254414.55,569381.53,38.06
254914.55,569381.53,31.84
255414.55,569381.53,38.44
255914.55,569381.53,26.73
256414.55,569381.53,16.12
256914.55,569381.53,17.21
257414.55,569381.53,23.7
257914.55,569381.53,38.38
258414.55,569381.53,15.04
258914.55,569381.53,19.88
259414.55,569381.53,56.46
259914.55,569381.53,56.67
260414.55,569381.53,30.18
260914.55,569381.53,19.49
261414.55,569381.53,16.67
261914.55,569381.53,12.87
262414.55,569381.53,10.28
262914.55,569381.53,10.59
263414.55,569381.53,15.36
263914.55,569381.53,13.97
264414.55,569381.53,22.27
264914.55,569381.53,55.93
265414.55,569381.53,64.72
265914.55,569381.53,59.28
266414.55,569381.53,49.14
266914.55,569381.53,42.55
267414.55,569381.53,34.51
267914.55,569381.53,34.28
268414.55,569381.53,51.4
268914.55,569381.53,54.17
269414.55,569381.53,61.64
233914.55,569881.53,29.11
234414.55,569881.53,43.49
234914.55,569881.53,45.15
235414.55,569881.53,47.51
235914.55,569881.53,44.9
236414.55,569881.53,40.98
236914.55,569881.53,42.69
237414.55,569881.53,41.08
237914.55,569881.53,39.21
238414.55,569881.53,42.03
238914.55,569881.53,42.07
239414.55,569881.53,40.38
239914.55,569881.53,40.94
240414.55,569881.53,40.49
240914.55,569881.53,39.45
241414.55,569881.53,37.25
241914.55,569881.53,38.37
242414.55,569881.53,37.62
242914.55,569881.53,42.76
243414.55,569881.53,41.65
243914.55,569881.53,37.03
244414.55,569881.53,32.07
244914.55,569881.53,30
245414.55,569881.53,29.45
245914.55,569881.53,27.38
246414.55,569881.53,22.12
246914.55,569881.53,18.79
247414.55,569881.53,15.13
247914.55,569881.53,12.84
248414.55,569881.53,13.85
248914.55,569881.53,9.99
249414.55,569881.53,9.02
249914.55,569881.53,9.68
250414.55,569881.53,10.17
250914.55,569881.53,12.31
251414.55,569881.53,16.88
251914.55,569881.53,22.33
252414.55,569881.53,27.87
252914.55,569881.53,28.2
253414.55,569881.53,25.95
253914.55,569881.53,28.22
254414.55,569881.53,33.13
254914.55,569881.53,26.07
255414.55,569881.53,25.02
255914.55,569881.53,30.11
256414.55,569881.53,17.67
256914.55,569881.53,26.08
257414.55,569881.53,26.6
257914.55,569881.53,24.89
258414.55,569881.53,17.06
258914.55,569881.53,21.06
259414.55,569881.53,47.43
259914.55,569881.53,40.26
260414.55,569881.53,21.47
260914.55,569881.53,16.9
261414.55,569881.53,17.99
261914.55,569881.53,16.67
262414.55,569881.53,13.08
262914.55,569881.53,12.92
263414.55,569881.53,17
263914.55,569881.53,15.24
264414.55,569881.53,24.93
264914.55,569881.53,50.44
265414.55,569881.53,66.16
265914.55,569881.53,50.95
266414.55,569881.53,48.74
266914.55,569881.53,58.22
267414.55,569881.53,49.19
267914.55,569881.53,43.63
268414.55,569881.53,65.28
268914.55,569881.53,54.98
269414.55,569881.53,61.8
232914.55,570381.53,48.65
233414.55,570381.53,51.5
233914.55,570381.53,52.22
234414.55,570381.53,52.39
234914.55,570381.53,58.24
235414.55,570381.53,62.67
235914.55,570381.53,55.72
236414.55,570381.53,50.47
236914.55,570381.53,49.2
237414.55,570381.53,45.19
237914.55,570381.53,32.38
238414.55,570381.53,30.85
238914.55,570381.53,41.29
239414.55,570381.53,46.5
239914.55,570381.53,38.57
